Index,KW_H,p,p_FDR
dNLR,14.014121956474924,0.0009054658654696267,0.013939075072385825
HSI,12.263878474466708,0.002172364143900279,0.013939075072385825
MLR,11.831044153530001,0.002697251258989806,0.013939075072385825
LMR,11.831044153529888,0.0026972512589899587,0.013939075072385825
NLPR,11.362146089204884,0.0034098975074576716,0.013939075072385825
NLR,11.318707175177792,0.0034847687680964563,0.013939075072385825
dSIRI,10.819849170437465,0.0044719774518330755,0.015332494120570543
SIRI,10.381667744020717,0.005567362411083807,0.01555980481379328
SIIH,10.287787114845969,0.00583492680517248,0.01555980481379328
PNR,9.864744667097625,0.007209379924389378,0.01693878886698738
PLR,9.716615290638032,0.007763611564035883,0.01693878886698738
SII,8.898194354664952,0.011689115406347563,0.02317881116606716
dSII,8.755242404654155,0.012555189381619711,0.02317881116606716
HNR,8.217319783457446,0.016429777460512753,0.026287643936820405
NHR,8.217319783457446,0.016429777460512753,0.026287643936820405
LENF,7.984462736900007,0.01845848046224803,0.027687720693372046
NEU,7.552627615816599,0.02290697549793914,0.032339259526502316
HLR,6.9828210372406065,0.03045788045052368,0.040610507267364905
NMR,6.514634776987748,0.03849151742859424,0.048620864120329566
MHR,6.084085515776146,0.047737274132578576,0.05728472895909429
MONO,5.8838373952317,0.05276439263841482,0.06030216301533122
WBC,4.8634701393038124,0.087884214985277,0.09587368907484764
PLT,4.741771697720371,0.0933979531508888,0.09745873372266656
HB,1.3617241779113165,0.5061804316558431,0.5061804316558431
