Index,n_severe,n_nonsevere,median_severe,median_nonsevere,U,p,p_FDR
HB,15,71,10.8,12.4,236.0,0.0007507621244691025,0.018018290987258462
PLT,15,71,242000.0,267000.0,282.5,0.004515657415529044,0.05418788898634853
NLPR,15,71,1.276374956762366e-05,7.483435104586202e-06,724.0,0.02973145119555705,0.2175667404979899
PNR,15,71,37.29456384323641,67.15976331360947,348.0,0.03626112341633165,0.2175667404979899
HSI,15,71,3.393245227606461,6.978426395939087,362.0,0.05303177940629179,0.2545525411502006
NHR,15,71,624.7706422018348,312.5,675.0,0.1060917542763534,0.3409452366838202
HNR,15,71,0.0016005873715124817,0.0032,390.0,0.1060917542763534,0.3409452366838202
LENF,15,71,1770.0,2000.0,393.0,0.11364841222794006,0.3409452366838202
dNLR,15,71,1.65625,1.2388059701492538,666.0,0.1301211667961705,0.3469897781231213
NLR,15,71,3.2122641509433962,1.88,639.0,0.22769463227524123,0.4967882886005263
NMR,15,71,7.235294117647059,6.545454545454546,639.0,0.22769463227524123,0.4967882886005263
NEU,15,71,4480.0,3860.0,627.0,0.28472309539188945,0.564407522639104
MHR,15,71,64.81481481481481,50.0,623.0,0.30572074142951466,0.564407522639104
SIRI,15,71,2323.4965034965035,1135.0218340611355,613.0,0.3625962025023767,0.6153710211271971
dSIRI,15,71,2450.27972027972,1449.4323144104803,607.0,0.39970566874299485,0.6153710211271971
HLR,15,71,0.007272727272727273,0.006271929824561403,599.0,0.4525900129033218,0.6153710211271971
LMR,15,71,2.4237288135593222,3.1805555555555554,470.0,0.4804477278995182,0.6153710211271971
MLR,15,71,0.4125874125874126,0.314410480349345,595.0,0.4804477278995182,0.6153710211271971
SIIH,15,71,48804.042672655814,41095.7486442853,594.0,0.4875553708654218,0.6153710211271971
WBC,15,71,9900.0,7400.0,590.5,0.5128091842726643,0.6153710211271971
SII,15,71,668615.3846153846,533415.3846153846,564.0,0.7242448943774917,0.827560527566551
MONO,15,71,700.0,650.0,560.0,0.7585971502693384,0.827560527566551
dSII,15,71,793972.027972028,661873.6059479554,554.0,0.8111151469025316,0.8463810228548155
PLR,15,71,157.69230769230768,142.4731182795699,546.0,0.8823863749180312,0.8823863749180312
