Index,AUC,AUC_95CI_low,AUC_95CI_high,yon,cutoff,sensitivite,spesifite
HB,0.7784037558685446,0.6197246417099086,0.9107266865079365,<=,11.3,0.7333333333333333,0.8028169014084507
PLT,0.7347417840375587,0.5847682415357447,0.8690638528138528,<=,295000.0,1.0,0.4225352112676056
NLPR,0.67981220657277,0.496696568298681,0.8366197183098592,>=,7.936507936507936e-06,0.8,0.5492957746478873
PNR,0.6732394366197183,0.4803571428571429,0.8322202088452089,<=,43.17180616740088,0.6,0.7464788732394366
HSI,0.6600938967136151,0.4833417427167427,0.8167519181585677,<=,2.0586599241466494,0.4,0.8591549295774648
NHR,0.6338028169014085,0.43839193982387475,0.8036405444976747,>=,624.7706422018348,0.5333333333333333,0.8028169014084507
HNR,0.6338028169014085,0.43839193982387475,0.8036405444976747,<=,0.0016005873715124817,0.5333333333333333,0.8028169014084507
LENF,0.6309859154929578,0.4522226355820106,0.7922217845471522,<=,1040.0,0.3333333333333333,0.9436619718309859
dNLR,0.6253521126760563,0.45438154840328754,0.7911736805394093,>=,3.9040139616055844,0.3333333333333333,0.9295774647887324
NMR,0.6000000000000001,0.4387507424082766,0.7455477569815804,>=,6.0,0.8666666666666667,0.45070422535211263
NLR,0.6,0.41220546250475826,0.7803201024327785,>=,2.32967032967033,0.6666666666666666,0.5633802816901409
NEU,0.5887323943661973,0.3997466216216216,0.7669358766233765,>=,3510.0,0.8,0.45070422535211263
MHR,0.5849765258215962,0.3873660714285715,0.7713966396679476,>=,96.63865546218487,0.4,0.8732394366197183
SIRI,0.5755868544600939,0.374229797979798,0.7546090280421266,>=,2323.4965034965035,0.5333333333333333,0.6619718309859155
dSIRI,0.5699530516431925,0.36646728857996463,0.7512988845262537,>=,5514.2307692307695,0.4,0.8028169014084507
HLR,0.5624413145539906,0.3769393939393939,0.737513204225352,>=,0.009720279720279721,0.3333333333333333,0.8732394366197183
MLR,0.5586854460093896,0.3447322031039136,0.7522722370257581,>=,1.1346153846153846,0.26666666666666666,0.971830985915493
LMR,0.5586854460093896,0.3447322031039136,0.7522722370257581,<=,0.8813559322033898,0.26666666666666666,0.971830985915493
SIIH,0.5577464788732395,0.3644025598416331,0.7590288818229994,>=,143297.10144927536,0.4,0.8732394366197183
WBC,0.5544600938967137,0.38484571928066175,0.7276299294312992,>=,9900.0,0.5333333333333333,0.7183098591549295
SII,0.5295774647887324,0.3229868849713799,0.73928841991342,>=,1695524.4755244756,0.3333333333333333,0.8732394366197183
MONO,0.5258215962441315,0.3336365891053391,0.7094594594594595,>=,920.0,0.4,0.7887323943661972
dSII,0.52018779342723,0.32130389317889313,0.7176262842465754,>=,785307.6923076923,0.6,0.5915492957746479
PLR,0.5126760563380282,0.329767910033321,0.6835915492957746,>=,166.66666666666666,0.4666666666666667,0.7183098591549295
