Index,Spearman_rho,p,p_FDR
HLR,0.34440234735774883,7.201373847841126e-06,9.227796083536792e-05
NLR,0.3433936462761299,7.689830069613993e-06,9.227796083536792e-05
NLPR,0.33188933271545745,1.5997532294595367e-05,9.895408237134906e-05
SIRI,0.32739078077248757,2.1136695797482353e-05,9.895408237134906e-05
SII,0.3255013575967195,2.372936809896778e-05,9.895408237134906e-05
LMR,-0.32227512457696306,2.8861607358310143e-05,9.895408237134906e-05
MLR,0.32227512457696306,2.8861607358310143e-05,9.895408237134906e-05
HSI,-0.3057447335181487,7.604636412650434e-05,0.000228139092379513
dNLR,0.30040046508701707,0.00010276863848057363,0.000274049702614863
LENF,-0.2973506100605867,0.00012172121034659855,0.0002921309048318365
SIIH,0.29209384707147906,0.00016223879241685372,0.0003539755470913172
dSIRI,0.28211675191180086,0.0002757054698397859,0.0005514109396795718
PLR,0.28046879858588203,0.00030037731361243675,0.0005545427328229602
dSII,0.27736261824464004,0.0003525352415453458,0.0006043461283634499
NEU,0.2580762233626822,0.0009141754146358304,0.0014626806634173285
PNR,-0.2508072067053801,0.0012857216750623898,0.0019285825125935846
NMR,0.2005253134431787,0.01051100874704812,0.014839071172303228
HNR,-0.19392694519155207,0.01340988403231719,0.016938800882926975
NHR,0.19392694519155207,0.01340988403231719,0.016938800882926975
HB,0.18267299954041055,0.019983591344506144,0.023980309613407372
WBC,0.13318719859489395,0.09110348793889829,0.10411827193016947
MONO,0.10032422575249218,0.20399976218324392,0.22254519510899337
PLT,-0.03571866629570401,0.6518108018693712,0.6572752354178283
MHR,0.03511985040892544,0.6572752354178283,0.6572752354178283
