Index,delta,n,median_severe,median_nonsevere,KW_H,p_KW,p_MW_3vs1+2
HB,delta_48,86,-1.9000000000000004,-0.6000000000000014,10.700574012707571,0.0047467884454460854,0.0028572070234270364
HNR,delta_48,86,0.00015307560372663804,0.000726663838430586,8.549160524942351,0.013917889353568821,0.24572436809869524
HLR,delta_48,86,-0.002248157248157247,-0.000348285072285581,7.292097860261492,0.026094024685140108,0.007236371619221761
WBC,delta_48,86,-4200.0,-2400.0,6.881321625364468,0.03204350357650005,0.054410521094913324
NEU,delta_48,86,-3090.0,-1800.0,6.83022603083548,0.032872691370625096,0.035256736261467275
HSI,delta_48,86,0.5466517657577112,1.1369230769230771,6.67408128715266,0.03554198363797795,0.2847299115235401
MHR,delta_24,84,-4.120412041204121,-4.012309149011713,5.868364576599845,0.053174182685043966,0.6155246205407399
dSII,delta_48,86,-963276.3964146452,-328953.9651714368,5.344089306398814,0.06911077318485025,0.025710849322590944
SII,delta_48,86,-815061.6688396349,-310368.2149565438,5.165267753720059,0.0755746872302287,0.023531547274131887
PNR,delta_48,86,9.26908613623004,15.96760882177498,5.057615101640749,0.07975406627678219,0.6820310618980043
MHR,delta_48,86,6.9752138626891735,-3.4736505324740605,4.850397780068988,0.0884605233757984,0.3221292713015811
HLR,delta_24,84,-0.0016776119402985082,-0.0003112112003472974,4.563456151691469,0.10210760448348616,0.03353624032896812
HNR,delta_24,84,0.00012952683055775845,0.0005619485653304474,4.562301228183628,0.10216658474764422,0.16106544727299232
HSI,delta_24,84,0.2812053925455984,0.8835854981444478,4.55443654384834,0.10256912967043556,0.20300859793093395
MLR,delta_48,86,-0.15792540792540793,-0.03414777745069178,4.547271546950753,0.1029372424063211,0.06198823792127795
dSII,delta_24,84,-1195772.437841116,-264175.40435025096,4.524861021331617,0.1040971677581207,0.05253327590151668
dSIRI,delta_48,86,-1987.0356169912216,-747.6285269170853,4.312468018482377,0.11576025321575219,0.11630107175890769
LMR,delta_48,86,0.7140740740740741,0.28260117606364554,4.285548809205579,0.11732887327882778,0.15486791489157267
PLR,delta_24,84,-67.20835455934795,-12.297892366129958,4.2462141779789135,0.11965925835330322,0.040968361128984936
SII,delta_24,84,-1170761.9447653051,-235299.8698642871,3.9982805429864356,0.13545168486731501,0.04840730893292823
MONO,delta_24,84,-110.0,-80.0,3.8509340908004175,0.14580764216255102,0.7259592700511435
NHR,delta_48,86,-130.3074813944379,-121.96756756756753,3.7889359860490117,0.1503983267253686,0.9818411327601284
LMR,delta_24,84,0.26282051282051283,0.07731092436974762,3.667097608274048,0.15984530037346753,0.4690001201993178
SIIH,delta_24,84,-89927.63384156828,-12365.374050411854,3.2748502477913917,0.19448016046134708,0.07780766586635605
dNLR,delta_48,86,-1.4529493805890557,-0.6000000000000001,3.0980677435368875,0.2124531316747842,0.10857493139538534
NLPR,delta_48,86,-9.187752520871035e-06,-1.7655687755771598e-06,3.0942554193555907,0.21285848799511073,0.1036538269289262
MONO,delta_48,86,-170.0,-80.0,3.0550509276238698,0.2170721561675681,0.23873631259556682
SIRI,delta_48,86,-1780.6701631701635,-775.5314296726946,2.942825320451618,0.22960090791158155,0.11630107175890769
NLR,delta_48,86,-2.8058670143415907,-0.826853325403116,2.9172108298010357,0.2325603739174776,0.08994756096390905
PNR,delta_24,84,1.4804484855246258,8.680080007094226,2.7102003878474648,0.25792145099497865,0.1319107862342584
PLR,delta_48,86,-54.9036424175159,-14.499793473771149,2.4485037104925027,0.293977555837523,0.12168740144827332
dNLR,delta_24,84,-1.2339544513457543,-0.469730579304656,2.053945270415852,0.35808938849750116,0.15760388343586695
NLR,delta_24,84,-2.335522388059702,-0.5949675324675328,2.0528248222365733,0.35829005500303884,0.15419898210391972
MLR,delta_24,84,-0.05690298507462686,-0.00694130548426021,2.0489075630252387,0.35899250020260415,0.44776623469467025
WBC,delta_24,84,-1700.0,-1700.0,1.9405967452384694,0.37896994697689934,0.7259965690758367
SIIH,delta_48,86,-44781.9112174037,-21811.14636048278,1.631945876452619,0.442208876074505,0.20650994056288074
NMR,delta_24,84,-1.7612570356472794,-1.4444444444444446,1.5998362421891557,0.44936575618720465,0.8609325819944135
PLT,delta_48,86,-46000.0,-29000.0,1.335514979964908,0.5128573770137521,0.26713702269560224
HB,delta_24,84,-1.0,-0.5999999999999996,1.2500805488810562,0.5352398715985196,0.272022046123789
dSIRI,delta_24,84,-1263.7748344370862,-628.9319576129392,1.0771040723981855,0.5835926619381777,0.6827084476774171
NLPR,delta_24,84,-4.23973951260171e-06,-1.4960738392969804e-06,0.9523852617970192,0.6211438192304326,0.3323611686890434
NMR,delta_48,86,-3.872586872586872,-2.2268305171530987,0.6177327172515561,0.7342788935098297,0.45946764765147274
NHR,delta_24,84,-91.28166915052157,-117.55952380952377,0.4875759534583324,0.783653769485381,0.8609325819944135
NEU,delta_24,84,-1820.0,-1580.0,0.4285704105347251,0.8071181578432391,0.7042601799859662
PLT,delta_24,84,-59000.0,-24000.0,0.2838296518746486,0.8676951584604138,0.6403390062351397
SIRI,delta_24,84,-1160.9668874172185,-566.3181593270656,0.18274509803924843,0.9126776303984327,0.7260578130185488
LENF,delta_24,84,100.0,10.0,0.17265335895385905,0.9172945209739211,0.7348251809225042
LENF,delta_48,86,240.0,0.0,0.012178133756556913,0.9939294339195341,0.9636892734799418
